,Word,Mouth,Body,Head,Shoulder,Eyegaze,Eyebrow,Eyelids,Hand
0,5,5,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hamextfingeru,hampalmd,hamshoulders,hamlrat"
1,11,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
2,12,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger23spread,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
3,13,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2345,hamthumbacrossmod,hampinky,hamdoublebent,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
4,14,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2345,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
5,15,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2345,hamthumboutmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
6,16,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumboutmod,hamextfingero,hambetween,hamextfingeru,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
7,17,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumboutmod,hamextfingero,hambetween,hamextfingerdl,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend"
8,18,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger23spread,hamthumboutmod,hamextfingero,hambetween,hamextfingerdl,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend"
9,19,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hamfingerhookmod,hamextfingeru,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
10,20,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
11,21,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
12,29,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamfingerhookmod,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
13,30,,,,,AD,RB,BB,"hamfinger2345,hamthumbacrossmod,hampinky,hamdoublebent,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
14,40,,,,,AD,RB,BB,"hamfinger2345,hamthumbacrossmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
15,50,,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
16,60,,,,,AD,RB,BB,"hamfinger2345,hamthumboutmod,hamextfingeru,hampalmd,hambetween,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
17,70,,,,,AD,RB,BB,"hamfinger2,hamthumboutmod,hamextfingero,hambetween,hamextfingerdl,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hamextfingeru,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
18,80,,,,,AD,RB,BB,"hamfinger23spread,hamthumboutmod,hamextfingero,hambetween,hamextfingerdl,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hamextfingeru,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
19,90,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamfingerhookmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hamextfingeru,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
20,101,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
21,110,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfinger2,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
22,200,,,,,AD,RB,BB,"hamfinger23spread,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
23,900,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamfingerhookmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampalmd,hambetween,hampalml,hammover,hamsmallmod,hamarcd,hamsmallmod,hamparend"
24,1000,,,,,AD,RB,BB,"hamfinger2,hamthumbacrossmod,hamextfingeru,hampalml,hambetween,hampalmd,hamshoulders,hamlrat,hamparbegin,hamreplace,hamfist,hamthumbacrossmod,hampinky,hamfingerstraightmod,hamextfingero,hammovedr,hamsmallmod,hamarcd,hamsmallmod,hamparend"
